Item Number,Description,UPC,List Price,Price,DISCOUNT,NET,PS,New Release,Whse 1 Availability ,Whse 2 Availability,Product Type,Category,Sub-Category,Minimum Order Quantity,Case Quantity
PH43790-7,"KG Langford 5X7"" (For 4X6) Frame WOOD, WHITE ( LD S2 )",68589437907,$3.00,$3.00,,YES,,,In Stock,Arriving Mid May,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,6
PH43791-4,"KG Langford 8X10 (For 5X7) Frame WOOD, WHITE ( LD S2 )",68589437914,$4.70,$4.70,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,6
PH43792-1,"KG Langford 11X14(For 8X10) Frame WOOD, WHITE ( LD S2 )",68589437921,$7.45,$7.45,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 11"" x 14"" and up",6,6
PH43793-8,"KG Langford 16X20(For 11X14)Frame WOOD, WHITE ( LD S3 )",68589437938,$13.30,$13.30,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 11"" x 14"" and up",3,6
PH43794-5,"KG Langford 14X18(For 10X13)Frame WOOD, BLACK (AZ)",68589437945,$10.60,$10.60,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 11"" x 14"" and up",3,6
PH43795-2,"KG Langford 16X20(For 11X14)Frame WOOD, BLACK ( LD S3 )",68589437952,$13.30,$13.30,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 11"" x 14"" and up",3,6
PH43804-1,"KG Harper Document Frame 8.5X11In DARK BROWN, PS (AZ) (LD xx)",68589438041,$2.40,$2.40,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size-Document(8.5""x11"")",6,24
PH43816-4,"KG Lucy 5X7"" Frame, Dark Brown W/GOLD BEADING ( LD S6 )",68589438164,$1.85,$1.85,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,24
PH43817-1,"KG Lucy 8X10"" Frame, Dark Brown W/GOLD BEADING ( LD S5 )",68589438171,$3.40,$3.40,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,12
PH43818-8,"KG Lucy 8.5X11"" Frame, Drk Brown W/GOLD BEADING ( LD S5 )",68589438188,$3.70,$3.70,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size-Document(8.5""x11"")",6,12
PH43819-5,"KG Lucy 10X13"" Frame, Dark Brown W/GOLD BEADING (AZ)",68589438195,$3.30,$3.30,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Size - Others,6,12
PH43820-1,"KG Lucy 11X14"" For 8.5X11) Frame DARK BROWN, GOLD BEADING ( LD S5 )",68589438201,$5.80,$5.80,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size-Document(8.5""x11"")",4,8
PH43823-2,"KG Lucy 8X20"" (4-4X6"") Collage DARK BROWN, GOLD BEADING ( LD S4 )",68589438232,$5.95,$5.95,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Collage,3,6
PH43830-0,"KG Kylie 8.5X11"" Document Frame BROWN W/GOLD LINE, PS (AZ) *",68589438300,$3.85,$3.85,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size-Document(8.5""x11"")",6,12
PH43833-1,"KG Sydney 4X6"" Antique Bronze FRAME (AZ)",68589438331,$2.35,$1.79,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,24
PH43834-8,"KG Sydney 5X7"" Antique Bronze FRAME (AZ)",68589438348,$2.15,$1.99,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,24
